X Y Z R G B Nx Ny Nz
628 318 -0.5 0 255 255 0 0 -1
628 318 0.5 0 255 255 0 0 1
627 319 -0.5 0 255 255 0 0 -1
627 319 0.5 0 255 255 0 0 1
625 319 -0.5 0 255 255 0 0 -1
625 319 0.5 0 255 255 0 0 1
623 321 -0.5 0 255 255 0 0 -1
623 321 0.5 0 255 255 0 0 1
621 321 -0.5 0 255 255 0 0 -1
621 321 0.5 0 255 255 0 0 1
620 322 -0.5 0 255 255 0 0 -1
620 322 0.5 0 255 255 0 0 1
619 322 -0.5 0 255 255 0 0 -1
619 322 0.5 0 255 255 0 0 1
617 324 -0.5 0 255 255 0 0 -1
617 324 0.5 0 255 255 0 0 1
616 324 -0.5 0 255 255 0 0 -1
616 324 0.5 0 255 255 0 0 1
615 325 -0.5 0 255 255 0 0 -1
615 325 0.5 0 255 255 0 0 1
614 325 -0.5 0 255 255 0 0 -1
614 325 0.5 0 255 255 0 0 1
613 326 -0.5 0 255 255 0 0 -1
613 326 0.5 0 255 255 0 0 1
612 326 -0.5 0 255 255 0 0 -1
612 326 0.5 0 255 255 0 0 1
611 327 -0.5 0 255 255 0 0 -1
611 327 0.5 0 255 255 0 0 1
610 327 -0.5 0 255 255 0 0 -1
610 327 0.5 0 255 255 0 0 1
609 328 -0.5 0 255 255 0 0 -1
609 328 0.5 0 255 255 0 0 1
605 328 -0.5 0 255 255 0 0 -1
605 328 0.5 0 255 255 0 0 1
604 327 -0.5 0 255 255 0 0 -1
604 327 0.5 0 255 255 0 0 1
600 327 -0.5 0 255 255 0 0 -1
600 327 0.5 0 255 255 0 0 1
599 328 -0.5 0 255 255 0 0 -1
599 328 0.5 0 255 255 0 0 1
598 328 -0.5 0 255 255 0 0 -1
598 328 0.5 0 255 255 0 0 1
597 329 -0.5 0 255 255 0 0 -1
597 329 0.5 0 255 255 0 0 1
596 329 -0.5 0 255 255 0 0 -1
596 329 0.5 0 255 255 0 0 1
594 331 -0.5 0 255 255 0 0 -1
594 331 0.5 0 255 255 0 0 1
593 331 -0.5 0 255 255 0 0 -1
593 331 0.5 0 255 255 0 0 1
591 333 -0.5 0 255 255 0 0 -1
591 333 0.5 0 255 255 0 0 1
589 333 -0.5 0 255 255 0 0 -1
589 333 0.5 0 255 255 0 0 1
588 334 -0.5 0 255 255 0 0 -1
588 334 0.5 0 255 255 0 0 1
588 335 -0.5 0 255 255 0 0 -1
588 335 0.5 0 255 255 0 0 1
587 336 -0.5 0 255 255 0 0 -1
587 336 0.5 0 255 255 0 0 1
586 336 -0.5 0 255 255 0 0 -1
586 336 0.5 0 255 255 0 0 1
584 338 -0.5 0 255 255 0 0 -1
584 338 0.5 0 255 255 0 0 1
583 338 -0.5 0 255 255 0 0 -1
583 338 0.5 0 255 255 0 0 1
581 340 -0.5 0 255 255 0 0 -1
581 340 0.5 0 255 255 0 0 1
580 340 -0.5 0 255 255 0 0 -1
580 340 0.5 0 255 255 0 0 1
579 341 -0.5 0 255 255 0 0 -1
579 341 0.5 0 255 255 0 0 1
578 341 -0.5 0 255 255 0 0 -1
578 341 0.5 0 255 255 0 0 1
576 343 -0.5 0 255 255 0 0 -1
576 343 0.5 0 255 255 0 0 1
575 343 -0.5 0 255 255 0 0 -1
575 343 0.5 0 255 255 0 0 1
574 344 -0.5 0 255 255 0 0 -1
574 344 0.5 0 255 255 0 0 1
573 344 -0.5 0 255 255 0 0 -1
573 344 0.5 0 255 255 0 0 1
571 346 -0.5 0 255 255 0 0 -1
571 346 0.5 0 255 255 0 0 1
570 346 -0.5 0 255 255 0 0 -1
570 346 0.5 0 255 255 0 0 1
569 347 -0.5 0 255 255 0 0 -1
569 347 0.5 0 255 255 0 0 1
567 347 -0.5 0 255 255 0 0 -1
567 347 0.5 0 255 255 0 0 1
566 348 -0.5 0 255 255 0 0 -1
566 348 0.5 0 255 255 0 0 1
564 348 -0.5 0 255 255 0 0 -1
564 348 0.5 0 255 255 0 0 1
563 349 -0.5 0 255 255 0 0 -1
563 349 0.5 0 255 255 0 0 1
561 349 -0.5 0 255 255 0 0 -1
561 349 0.5 0 255 255 0 0 1
560 350 -0.5 0 255 255 0 0 -1
560 350 0.5 0 255 255 0 0 1
558 350 -0.5 0 255 255 0 0 -1
558 350 0.5 0 255 255 0 0 1
557 351 -0.5 0 255 255 0 0 -1
